120001,蔡小芳,F,69,76,58,85,288.0,72.0,10,
120002,張小瑋,F,50,42,47,42,181.0,45.25,4,
120003,王小雅,F,84,86,59,63,292.0,73.0,11,
120004,黃小翔,M,76,80,78,82,316.0,79.0,14,
120005,林小宇,F,58,87,68,54,267.0,66.75,8,
120006,唐小棋,F,89,59,98,42,288.0,72.0,11,
120007,張小文,F,57,81,67,89,294.0,73.5,11,
120008,應小峰,M,68,68,78,78,292.0,73.0,10,
120009,賀小夫,M,63,93,59,66,281.0,70.25,10,
120010,游小馨,F,81,91,91,64,327.0,81.75,16,
120011,林小煌,M,77,98,89,43,307.0,76.75,13,
120012,孫小庭,F,98,76,45,65,284.0,71.0,11,
120013,黃小嘉,F,70,91,61,61,283.0,70.75,12,
120014,楊小葳,F,87,73,84,60,304.0,76.0,13,
120015,李小秀,F,55,81,78,83,297.0,74.25,12,
120016,陳小柔,F,100,94,76,72,342.0,85.5,16,
120017,林小君,F,65,67,64,88,284.0,71.0,10,
120018,謝小婷,F,71,68,65,49,253.0,63.25,8,
120019,郭小文,F,61,56,80,67,264.0,66.0,9,
120020,方小婷,F,86,80,56,82,304.0,76.0,13,
120021,洪小寧,F,73,51,33,70,227.0,56.75,8,
120022,莊小郁,F,71,82,56,77,286.0,71.5,11,
120023,陳小政,M,54,63,73,69,259.0,64.75,8,
120024,徐小倫,M,51,77,82,52,262.0,65.5,9,
120025,邱小傑,M,82,48,79,68,277.0,69.25,10,
120026,何小運,M,76,61,56,62,255.0,63.75,8,
120027,劉小瑩,F,75,67,38,44,224.0,56.0,7,
120028,王小琳,F,55,44,79,76,254.0,63.5,8,
120029,徐小容,F,63,90,83,38,274.0,68.5,12,
120030,何小瑩,F,96,44,54,62,256.0,64.0,9,
120031,黃小菁,F,84,67,77,86,314.0,78.5,13,
120032,陳小貞,F,69,60,62,52,243.0,60.75,7,
120033,賴小勻,F,80,84,47,42,253.0,63.25,10,
120034,沈小蓁,F,47,41,72,49,209.0,52.25,6,
120035,朱小穎,F,72,76,56,79,283.0,70.75,10,
120036,蕭小佑,F,63,61,67,66,257.0,64.25,8,
120037,余小儒,F,68,58,59,64,249.0,62.25,6,
120038,呂小倫,F,65,48,85,73,271.0,67.75,10,
120039,林小芳,F,90,97,79,80,346.0,86.5,17,
120040,程小雯,F,85,81,73,56,295.0,73.75,12,
120041,陳小霖,F,85,61,67,63,276.0,69.0,10,
120042,林小婷,F,57,90,75,86,308.0,77.0,13,
120043,徐小平,F,86,78,78,67,309.0,77.25,12,
120044,郭小妤,F,73,61,76,64,274.0,68.5,10,
120045,陳小妤,F,69,70,83,73,295.0,73.75,12,
120046,羅小文,F,56,65,67,57,245.0,61.25,6,
120047,陳小鳴,M,73,50,65,84,272.0,68.0,10,
120048,黃小庭,F,55,70,59,65,249.0,62.25,7,
120049,蔡小芹,F,53,86,96,85,320.0,80.0,14,
120050,丁小馨,F,61,58,85,75,279.0,69.75,10,
120051,黃小斌,M,61,71,90,55,277.0,69.25,11,
120052,廖小文,M,49,60,88,54,251.0,62.75,8,
120053,張小娟,F,63,80,81,57,281.0,70.25,11,
120054,周小儒,F,54,72,60,40,226.0,56.5,7,
120055,張小葳,F,78,83,64,59,284.0,71.0,10,
120056,何小華,M,85,81,80,73,319.0,79.75,15,
120057,陳小好,F,83,73,83,61,300.0,75.0,13,
120058,張小鈴,F,73,87,64,74,298.0,74.5,12,
120059,林小瑩,F,65,71,74,70,280.0,70.0,11,
120060,葉小盈,F,77,75,64,88,304.0,76.0,12,
120061,李小雯,F,100,71,89,82,342.0,85.5,16,
120062,蔡小文,F,82,75,88,57,302.0,75.5,12,
120063,賴小戎,F,97,75,94,56,322.0,80.5,14,
120064,賴小彤,F,87,83,73,79,322.0,80.5,14,
120065,吳小唐,F,61,100,88,91,340.0,85.0,16,
120066,張小琪,F,73,83,90,70,316.0,79.0,15,
120067,王小葦,F,62,68,71,70,271.0,67.75,10,
120068,徐小穎,F,67,77,64,84,292.0,73.0,11,
120069,王小蕾,F,68,93,75,84,320.0,80.0,14,
120070,廖小君,F,57,85,78,77,297.0,74.25,11,
120071,湯小萍,F,90,100,56,75,321.0,80.25,14,
120072,黃小倫,M,70,79,87,74,310.0,77.5,13,
120073,林小萱,F,55,96,59,84,294.0,73.5,11,
120074,林小穎,F,76,75,87,59,297.0,74.25,11,
120075,范小銘,M,60,72,70,54,256.0,64.0,9,
120076,黃小婕,F,73,90,90,46,299.0,74.75,14,
120077,施小吟,F,94,95,99,85,373.0,93.25,19,
120078,劉小萱,F,82,78,78,74,312.0,78.0,13,
120079,謝小峮,F,69,60,63,45,237.0,59.25,7,
120080,許小皓,M,67,56,89,45,257.0,64.25,8,
120081,許小鴻,M,100,62,69,89,320.0,80.0,13,
120082,陳小儀,F,91,84,81,72,328.0,82.0,16,
120083,張小瑋,M,83,83,50,57,273.0,68.25,10,
120084,鄭小倢,F,60,75,89,67,291.0,72.75,11,
120085,李小芳,F,76,91,79,81,327.0,81.75,15,
120086,宋小萱,F,83,84,66,65,298.0,74.5,12,
120087,李小謀,M,52,86,100,67,305.0,76.25,12,
120088,許小晶,F,68,64,98,71,301.0,75.25,12,
120089,許小嫣,F,88,68,59,77,292.0,73.0,10,
120090,陳小樺,F,75,63,93,57,288.0,72.0,11,
120091,阮小凱,M,70,78,61,61,270.0,67.5,10,
120092,陳小君,F,58,66,92,56,272.0,68.0,9,
120093,王小月,F,62,55,71,48,236.0,59.0,7,
120094,曾小樺,F,62,84,75,65,286.0,71.5,11,
120095,聞小雯,F,59,55,51,67,232.0,58.0,5,
120096,謝小伶,F,90,97,70,86,343.0,85.75,17,
120097,王小捷,F,78,87,51,46,262.0,65.5,9,
120098,陳小穎,F,83,61,60,81,285.0,71.25,12,
120099,蔡小庭,F,78,66,45,63,252.0,63.0,8,
120100,蕭小安,F,43,62,94,60,259.0,64.75,10,
120101,劉小瑄,F,65,85,59,83,292.0,73.0,11,
120102,黃小可,F,91,99,73,64,327.0,81.75,15,
120103,柯小文,F,78,74,99,63,314.0,78.5,13,
120104,陳小柔,F,76,89,79,78,322.0,80.5,13,
120105,許小翎,F,79,91,52,81,303.0,75.75,13,
120106,馬小鴻,M,82,73,93,57,305.0,76.25,13,
120107,陳小如,F,71,90,79,59,299.0,74.75,12,
120108,施小妤,F,84,77,70,55,286.0,71.5,11,
120109,黃小晴,F,70,81,78,52,281.0,70.25,11,
120110,林小鋒,M,90,85,59,60,294.0,73.5,12,
120111,陳小雅,F,87,80,64,71,302.0,75.5,13,
120112,王小博,M,70,79,85,51,285.0,71.25,11,
120113,曾小雯,F,71,76,75,56,278.0,69.5,10,
120114,張小瑋,F,89,100,78,80,347.0,86.75,16,
120115,鄭小俐,F,65,79,51,85,280.0,70.0,10,
120116,沈小綺,F,100,80,95,95,370.0,92.5,19,
120117,高小盈,F,76,60,68,97,301.0,75.25,12,
120118,蕭小雯,F,62,56,54,65,237.0,59.25,6,
120119,許小邦,M,60,64,76,55,255.0,63.75,8,
120120,戴小潔,F,88,85,84,66,323.0,80.75,14,
120121,章小云,F,60,52,81,46,239.0,59.75,8,
120122,王小吟,F,60,87,84,56,287.0,71.75,11,
120123,吳小儀,F,67,35,75,62,239.0,59.75,8,
120124,張小絜,F,91,68,72,70,301.0,75.25,13,
120125,陳小陵,F,52,64,57,63,236.0,59.0,6,
120126,管小婷,F,62,96,66,80,304.0,76.0,13,
120127,周小穎,F,79,94,72,64,309.0,77.25,13,
120128,陳小君,F,88,78,69,74,309.0,77.25,12,
120129,趙小風,F,62,66,61,49,238.0,59.5,7,
120130,劉小廷,M,82,81,83,68,314.0,78.5,14,
120131,莊小涵,F,81,77,64,60,282.0,70.5,11,
120132,鄭小珍,F,70,70,42,56,238.0,59.5,8,
120133,徐小明,M,63,84,83,54,284.0,71.0,11,
120134,鄭小薪,F,70,62,75,41,248.0,62.0,9,
120135,王小柔,F,64,97,56,73,290.0,72.5,11,
120136,高小嫻,F,84,95,70,90,339.0,84.75,17,
120137,阮小維,M,78,83,75,62,298.0,74.5,12,
120138,洪小昊,M,64,41,81,42,228.0,57.0,8,
120139,陳小臻,F,92,94,79,82,347.0,86.75,17,
120140,黃小豪,M,72,54,60,74,260.0,65.0,9,
120141,王小豪,M,68,54,55,52,229.0,57.25,5,
120142,唐小華,F,89,51,71,59,270.0,67.5,9,
120143,吳小潔,F,31,76,86,39,232.0,58.0,9,
120144,蘇小清,F,85,61,62,60,268.0,67.0,10,
120145,許小柔,F,74,50,75,57,256.0,64.0,8,
120146,林小翔,M,82,61,85,56,284.0,71.0,11,
120147,王小瑄,F,72,95,96,76,339.0,84.75,16,
120148,邱小均,F,73,93,64,56,286.0,71.5,11,
120149,林小蓁,F,87,96,75,62,320.0,80.0,14,
120150,林小菁,F,97,84,60,65,306.0,76.5,13,
120151,劉小豪,M,70,51,87,75,283.0,70.75,11,
120152,蔡小芸,F,78,100,53,42,273.0,68.25,10,
120153,郭小萱,F,95,68,62,69,294.0,73.5,11,
120154,廖小駿,M,56,90,91,90,327.0,81.75,16,
120155,王小卉,F,80,82,65,69,296.0,74.0,12,
120156,孫小玟,F,63,74,62,66,265.0,66.25,9,
120157,陳小均,F,79,63,83,82,307.0,76.75,13,
120158,呂小騏,F,83,71,55,84,293.0,73.25,12,
120159,林小駿,M,87,30,96,72,285.0,71.25,13,
120160,莊小瑾,F,46,96,70,84,296.0,74.0,13,
120161,曾小婷,F,58,76,41,73,248.0,62.0,8,
120162,鍾小正,M,88,69,74,62,293.0,73.25,11,
120163,何小穎,F,57,65,57,45,224.0,56.0,5,
120164,洪小亭,F,77,82,59,67,285.0,71.25,10,
120165,王小卉,F,55,84,86,54,279.0,69.75,10,
120166,蔡小臻,F,70,68,61,74,273.0,68.25,10,
120167,江小緯,M,40,81,79,46,246.0,61.5,9,
120168,賴小威,M,63,78,58,70,269.0,67.25,9,
120169,張小倫,M,49,80,69,74,272.0,68.0,10,
120170,雲小邗,F,68,34,55,47,204.0,51.0,5,
120171,葉小震,M,64,74,76,73,287.0,71.75,11,
