120001,蔡小芳,F,69,76,58,85,797.0
120002,張小瑋,F,50,42,47,42,498.5
120003,王小雅,F,84,86,59,63,803.5
120004,黃小翔,M,76,80,78,82,869.0
120005,林小宇,F,58,87,68,54,723.5
120006,唐小棋,F,89,59,98,42,785.5
120007,張小文,F,57,81,67,89,808.0
120008,應小峰,M,68,68,78,78,803.0
120009,賀小夫,M,63,93,59,66,767.0
120010,游小馨,F,81,91,91,64,890.0
120011,林小煌,M,77,98,89,43,827.5
120012,孫小庭,F,98,76,45,65,791.5
120013,黃小嘉,F,70,91,61,61,773.0
120014,楊小葳,F,87,73,84,60,833.5
120015,李小秀,F,55,81,78,83,811.5
120016,陳小柔,F,100,94,76,72,941.0
120017,林小君,F,65,67,64,88,786.5
120018,謝小婷,F,71,68,65,49,692.5
120019,郭小文,F,61,56,80,67,724.0
120020,方小婷,F,86,80,56,82,844.0
120021,洪小寧,F,73,51,33,70,639.0
120022,莊小郁,F,71,82,56,77,789.0
120023,陳小政,M,54,63,73,69,709.0
120024,徐小倫,M,51,77,82,52,706.5
120025,邱小傑,M,82,48,79,68,767.5
120026,何小運,M,76,61,56,62,706.5
120027,劉小瑩,F,75,67,38,44,619.5
120028,王小琳,F,55,44,79,76,700.5
120029,徐小容,F,63,90,83,38,735.5
120030,何小瑩,F,96,44,54,62,719.0
120031,黃小菁,F,84,67,77,86,870.0
120032,陳小貞,F,69,60,62,52,668.0
120033,賴小勻,F,80,84,47,42,693.5
120034,沈小蓁,F,47,41,72,49,570.5
120035,朱小穎,F,72,76,56,79,783.0
120036,蕭小佑,F,63,61,67,66,707.0
120037,余小儒,F,68,58,59,64,688.5
120038,呂小倫,F,65,48,85,73,746.5
120039,林小芳,F,90,97,79,80,950.0
120040,程小雯,F,85,81,73,56,808.0
120041,陳小霖,F,85,61,67,63,764.0
120042,林小婷,F,57,90,75,86,841.5
120043,徐小平,F,86,78,78,67,849.0
120044,郭小妤,F,73,61,76,64,753.5
120045,陳小妤,F,69,70,83,73,808.5
120046,羅小文,F,56,65,67,57,669.0
120047,陳小鳴,M,73,50,65,84,758.5
120048,黃小庭,F,55,70,59,65,682.5
120049,蔡小芹,F,53,86,96,85,869.0
120050,丁小馨,F,61,58,85,75,765.5
120051,黃小斌,M,61,71,90,55,750.5
120052,廖小文,M,49,60,88,54,679.0
120053,張小娟,F,63,80,81,57,762.5
120054,周小儒,F,54,72,60,40,612.0
120055,張小葳,F,78,83,64,59,778.5
120056,何小華,M,85,81,80,73,876.5
120057,陳小好,F,83,73,83,61,822.0
120058,張小鈴,F,73,87,64,74,818.5
120059,林小瑩,F,65,71,74,70,767.5
120060,葉小盈,F,77,75,64,88,842.5
120061,李小雯,F,100,71,89,82,946.0
120062,蔡小文,F,82,75,88,57,824.5
120063,賴小戎,F,97,75,94,56,881.5
120064,賴小彤,F,87,83,73,79,888.0
120065,吳小唐,F,61,100,88,91,926.0
120066,張小琪,F,73,83,90,70,861.5
120067,王小葦,F,62,68,71,70,743.5
120068,徐小穎,F,67,77,64,84,805.5
120069,王小蕾,F,68,93,75,84,876.0
120070,廖小君,F,57,85,78,77,809.5
